Province,Fuel,Name (File 1),Name (File 2),Capacity (File 1),Capacity (File 2),Difference (MW),Status
ba ria - vung tau,gas,Bà Rịa,Bà Rịa,389.0,389.0,0.0,Matched
ba ria - vung tau,gas,Phú Mỹ 1,Phú Mỹ 1,1108.0,1108.0,0.0,Matched
ba ria - vung tau,gas,Phú Mỹ 2.1,Phú Mỹ 2.1,896.0,896.0,0.0,Matched
ba ria - vung tau,gas,Phú Mỹ 4,Phú Mỹ 4,458.0,458.0,0.0,Matched
ba ria - vung tau,gas,Long Sơn,Long Sơn I,1500.0,1500.0,0.0,Matched (Fuzzy)
ba ria - vung tau,gas,N/A,Bà Rịa 2,N/A,1200.0,N/A,Only in File 2
ba ria - vung tau,gas,N/A,Cái Mép H,N/A,6000.0,N/A,Only in File 2
ba ria - vung tau,gas,N/A,Dầm Phú Mỹ,N/A,21.0,N/A,Only in File 2
ba ria - vung tau,gas,N/A,Long Sơn II&III,N/A,3200.0,N/A,Only in File 2
ba ria - vung tau,gas,N/A,Long Sơn IV,N/A,3600.0,N/A,Only in File 2
ba ria - vung tau,gas,N/A,Phú Mỹ 2.2,N/A,740.0,N/A,Only in File 2
ba ria - vung tau,gas,N/A,Phú Mỹ 3,N/A,740.0,N/A,Only in File 2
ba ria - vung tau,gas,N/A,Phú Mỹ 3.1,N/A,850.0,N/A,Only in File 2
bac giang,coal,An Khánh - Bắc Giang,An Khánh - Bắc Giang,650.0,650.0,0.0,Matched
bac giang,coal,N/A,Sơn Động,N/A,220.0,N/A,Only in File 2
bac lieu,gas,Bạc Liêu LNG,Bạc Liêu LNG,3200.0,3200.0,0.0,Matched
binh thuan,coal,Vĩnh Tân I,Vĩnh Tân I,1200.0,1200.0,0.0,Matched
binh thuan,coal,Vĩnh Tân II,Vĩnh Tân II,1244.0,1244.0,0.0,Matched
binh thuan,coal,Vĩnh Tân III,Vĩnh Tân III,1980.0,1980.0,0.0,Matched
binh thuan,coal,Vĩnh Tân IV,Vĩnh Tân IV,1200.0,1200.0,0.0,Matched
binh thuan,coal,Vĩnh Tân IV MR,Vĩnh Tân IV MR,600.0,600.0,0.0,Matched
binh thuan,gas,Sơn Mỹ I,Sơn Mỹ I,2250.0,2250.0,0.0,Matched
binh thuan,gas,Sơn Mỹ II,Sơn Mỹ II,2250.0,2250.0,0.0,Matched
ca mau,gas,Cà Mau 1&2,Cà Mau 1&2,1500.0,1500.0,0.0,Matched
ca mau,gas,N/A,Cà Mau 1-3,N/A,4500.0,N/A,Only in File 2
can tho,gas,Ô Môn I,Ô Môn I,660.0,660.0,0.0,Matched
can tho,gas,Ô Môn II,Ô Môn II,1050.0,1050.0,0.0,Matched
can tho,gas,Ô Môn III,Ô Môn III,1050.0,1050.0,0.0,Matched
can tho,gas,Ô Môn IV,Ô Môn IV,1050.0,1050.0,0.0,Matched
can tho,gas/oil,Cần Thơ,Cần Thơ,150.0,188.0,-38.0,Matched (Fuzzy) (Diff)
ha tinh,coal,Vũng Áng II,Vũng Áng II,1330.0,1330.0,0.0,Matched
ha tinh,coal,Formosa Hà Tĩnh,Formosa Hà Tĩnh 1,650.0,650.0,0.0,Matched (Fuzzy)
ha tinh,coal,N/A,Formosa Hà Tĩnh 2,N/A,650.0,N/A,Only in File 2
ha tinh,coal,N/A,Vũng Áng III,N/A,2400.0,N/A,Only in File 2
hai duong,coal,Hải Dương,Hải Dương,1200.0,1200.0,0.0,Matched
hai duong,coal,Phả Lại I,Phả Lại I,440.0,440.0,0.0,Matched
hai duong,coal,Phả Lại II,Phả Lại II,600.0,600.0,0.0,Matched
hai duong,coal,N/A,Phả Lại III,N/A,660.0,N/A,Only in File 2
hai phong,coal,Hải Phòng I,Hải Phòng I,600.0,600.0,0.0,Matched
hai phong,coal,Hải Phòng II,Hải Phòng II,600.0,600.0,0.0,Matched
hai phong,coal,N/A,Hải Phòng III,N/A,2400.0,N/A,Only in File 2
hau giang,coal,Sông Hậu I,Sông Hậu I,1200.0,1200.0,0.0,Matched
hau giang,coal,Sông Hậu II,Sông Hậu II,2120.0,2120.0,0.0,Matched
hau giang,coal,N/A,Sông Hậu III,N/A,2000.0,N/A,Only in File 2
khanh hoa,coal,Vân Phong I,Vân Phong I,1432.0,1432.0,0.0,Matched
khanh hoa,gas,N/A,Mỹ Giang,N/A,6000.0,N/A,Only in File 2
lang son,coal,Na Dương II,Na Dương II,110.0,110.0,0.0,Matched
lang son,coal,N/A,Na Dương,N/A,110.0,N/A,Only in File 2
long an,gas,Long An I&II,Long An I&II,3000.0,3000.0,0.0,Matched
nam đinh,coal,Nam Định I,Nam Định I,1200.0,1200.0,0.0,Matched
nghe an,coal,Quỳnh Lập I,Quỳnh Lập I,1200.0,1200.0,0.0,Matched
nghe an,coal,N/A,Quỳnh Lập II,N/A,1200.0,N/A,Only in File 2
ninh binh,coal,Ninh Bình,Ninh Bình,100.0,100.0,0.0,Matched
quang binh,coal,Quảng Trạch I,Quảng Trạch I,1403.0,1403.0,0.0,Matched
quang binh,coal,N/A,Quảng Trạch II,N/A,1200.0,N/A,Only in File 2
quang nam,coal,N/A,Nông Sơn,N/A,30.0,N/A,Only in File 2
quang ngai,gas,Dung Quất I-III,Dung Quất I-III,2250.0,2250.0,0.0,Matched
quang ninh,coal,Cẩm Phả,Cẩm Phả,600.0,600.0,0.0,Matched
quang ninh,coal,Mông Dương I,Mông Dương I,1080.0,1080.0,0.0,Matched
quang ninh,coal,Quảng Ninh I,Quảng Ninh I,600.0,600.0,0.0,Matched
quang ninh,coal,Quảng Ninh II,Quảng Ninh II,600.0,600.0,0.0,Matched
quang ninh,coal,Uông Bí,Uông Bí,105.0,105.0,0.0,Matched
quang ninh,coal,Uông Bí MR,Uông Bí MR,630.0,630.0,0.0,Matched
quang ninh,coal,N/A,Cẩm Phả III,N/A,440.0,N/A,Only in File 2
quang ninh,coal,N/A,Hải Hà 1,N/A,300.0,N/A,Only in File 2
quang ninh,coal,N/A,Hải Hà 2,N/A,750.0,N/A,Only in File 2
quang ninh,coal,N/A,Hải Hà 3,N/A,600.0,N/A,Only in File 2
quang ninh,coal,N/A,Hải Hà 4,N/A,600.0,N/A,Only in File 2
quang ninh,coal,N/A,Mạo Khê,N/A,440.0,N/A,Only in File 2
quang ninh,coal,N/A,Quảng Ninh III,N/A,1200.0,N/A,Only in File 2
quang tri,coal,Quảng Trị,Quảng Trị I,1320.0,1320.0,0.0,Matched (Fuzzy)
quang tri,coal,N/A,Quảng Trị II,N/A,2000.0,N/A,Only in File 2
soc trang,coal,Long Phú I,Long Phú I,1200.0,1200.0,0.0,Matched
soc trang,coal,N/A,Long Phú II,N/A,1320.0,N/A,Only in File 2
soc trang,coal,N/A,Long Phú III,N/A,1800.0,N/A,Only in File 2
